"stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code"
"DGC,Durgam Cheruvu,17.4429466,78.3875721,DGC,1,DGC,0.0"
"DGC1,Durgam Cheruvu,17.4429466,78.3875721,DGC,0,DGC,1.0"
"DGC2,Durgam Cheruvu,17.4429466,78.3875721,DGC,0,DGC,2.0"
"HTC,HITEC City,17.4490055,78.3831376,HTC,1,HTC,0.0"
"HTC1,HITEC City,17.4490055,78.3831376,HTC,0,HTC,1.0"
"HTC2,HITEC City,17.4490055,78.3831376,HTC,0,HTC,2.0"
"RDG,Raidurg,17.442,78.3772038,RDG,1,RDG,0.0"
"RDG1,Raidurg,17.442,78.3772038,RDG,0,RDG,1.0"
"RDG2,Raidurg,17.442,78.3772038,RDG,0,RDG,2.0"
"MYP_ENT01,MYP Arm A  Staircase,17.4963648,78.3736588,MYP_ENT01,2,MYP,1.0"
"MYP_ENT02,MYP Arm A  Lift,17.4963479,78.3733665,MYP_ENT02,2,MYP,2.0"
"MYP_ENT03,MYP Arm B Combined Staircase & Escalator,17.4963756,78.3724185,MYP_ENT03,2,MYP,3.0"
"MYP_ENT04,MYP Arm C Lift,17.496703,78.3727422,MYP_ENT04,2,MYP,4.0"
"MYP_ENT05,MYP Arm C Combined Staircase & Escalator,17.4967171,78.37241,MYP_ENT05,2,MYP,5.0"
"MYP_ENT06,MYP Arm D Combined Staircase & Escalator,17.4966966,78.3737029,MYP_ENT06,2,MYP,6.0"
"JNT_ENT01,JNT Arm A  Lift,17.49844423,78.3891904,JNT_ENT01,2,JNT,1.0"
"JNT_ENT02,JNT Arm A  Combined Staircase & Escalator,17.4984143,78.3895247,JNT_ENT02,2,JNT,2.0"
"JNT_ENT03,JNT Arm B Staircase,17.4985714,78.3882406,JNT_ENT03,2,JNT,3.0"
"JNT_ENT04,JNT Arm C Lift,17.498861,78.3886454,JNT_ENT04,2,JNT,4.0"
"JNT_ENT05,JNT Arm C Combined Staircase & Escalator,17.4988974,78.3882906,JNT_ENT05,2,JNT,5.0"
"JNT_ENT06,JNT Arm D Staircase,17.4988232,78.3889768,JNT_ENT06,2,JNT,6.0"
"KPH_ENT01,KPH Arm A  Staircase,17.4935653,78.4017087,KPH_ENT01,2,KPH,1.0"
"KPH_ENT02,KPH Arm A  Lift,17.4934253,78.4020052,KPH_ENT02,2,KPH,2.0"
"KPH_ENT03,KPH Arm B Combined Staircase & Escalator,17.4934253,78.4020052,KPH_ENT03,2,KPH,3.0"
"KPH_ENT04,KPH Arm C Staircase,17.493965,78.4017893,KPH_ENT04,2,KPH,4.0"
"KPH_ENT05,KPH Arm C Lift,17.4941065,78.4015309,KPH_ENT05,2,KPH,5.0"
"KPH_ENT06,KPH Arm D Staircase,17.4936727,78.4024401,KPH_ENT06,2,KPH,6.0"
"KPH_ENT07,KPH Arm D Escalator,17.4939291,78.4019036,KPH_ENT07,2,KPH,7.0"
"KUK_ENT01,KUK Arm A  Lift,17.4847658,78.4116935,KUK_ENT01,2,KUK,1.0"
"KUK_ENT02,KUK Arm A  Staircase ,17.4845311,78.4118688,KUK_ENT02,2,KUK,2.0"
"KUK_ENT03,KUK Arm B Staircase,17.4855337,78.4111497,KUK_ENT03,2,KUK,3.0"
"KUK_ENT04,KUK Arm B Escalator,17.4850594,78.4114849,KUK_ENT04,2,KUK,4.0"
"KUK_ENT05,KUK Arm C Lift,17.4854283,78.4116273,KUK_ENT05,2,KUK,5.0"
"KUK_ENT06,KUK Arm C  Staircase ,17.4857464,78.4113932,KUK_ENT06,2,KUK,6.0"
"KUK_ENT07,KUK Arm D Escalator,17.4847373,78.4121196,KUK_ENT07,2,KUK,7.0"
"KUK_ENT08,KUK Arm D Staircase ,17.4852546,78.4117524,KUK_ENT08,2,KUK,8.0"
"BLR_ENT01,BLR Arm A  Staircase,17.4763376,78.4224433,BLR_ENT01,2,BLR,1.0"
"BLR_ENT02,BLR Arm A  Lift,17.4764787,78.4222188,BLR_ENT02,2,BLR,2.0"
"BLR_ENT03,BLR Arm B Staircase,17.4770577,78.421342,BLR_ENT03,2,BLR,3.0"
"BLR_ENT04,BLR Arm B Escalator,17.4766958,78.4218804,BLR_ENT04,2,BLR,4.0"
"BLR_ENT05,BLR Arm C Staircase,17.4775665,78.4211374,BLR_ENT05,2,BLR,5.0"
"BLR_ENT06,BLR Arm C Lift,17.4774279,78.4213552,BLR_ENT06,2,BLR,6.0"
"BLR_ENT07,BLR Arm D Staircase,17.4765953,78.4226356,BLR_ENT07,2,BLR,7.0"
"BLR_ENT08,BLR Arm D Escalator,17.4769129,78.4221454,BLR_ENT08,2,BLR,8.0"
"MSP_ENT01,MSP Arm A  Combined Staircase & Escalator,17.4714706,78.4261823,MSP_ENT01,2,MSP,1.0"
"MSP_ENT02,MSP Arm B Staircase,17.4727184,78.4253532,MSP_ENT02,2,MSP,2.0"
"MSP_ENT03,MSP Arm B Lift,17.472522,78.4254953,MSP_ENT03,2,MSP,3.0"
"MSP_ENT04,MSP Arm C Staircase,17.4722616,78.4260605,MSP_ENT04,2,MSP,4.0"
"MSP_ENT05,MSP Arm D Combined Staircase & Escalator,17.4716317,78.4265123,MSP_ENT05,2,MSP,5.0"
"MSP_ENT06,MSP Arm D Lift,17.4718886,78.4263358,MSP_ENT06,2,MSP,6.0"
"BTN_ENT01,BTN Arm A Combined Staircase & Escalator,17.46308,78.4304517,BTN_ENT01,2,BTN,1.0"
"BTN_ENT02,BTN Arm B Staircase,17.4645819,78.4297594,BTN_ENT02,2,BTN,2.0"
"BTN_ENT03,BTN Arm B Lift,17.4645988,78.4297798,BTN_ENT03,2,BTN,3.0"
"BTN_ENT04,BTN Arm C Combined Staircase & Escalator,17.4640788,78.4302177,BTN_ENT04,2,BTN,4.0"
"BTN_ENT05,BTN Arm D Staircase,17.4635251,78.4304692,BTN_ENT05,2,BTN,5.0"
"BTN_ENT06,BTN Arm D Lift,17.4637936,78.4303468,BTN_ENT06,2,BTN,6.0"
"ERA_ENT01,ERA Arm A  Staircase,17.4565983,78.4336119,ERA_ENT01,2,ERA,1.0"
"ERA_ENT02,ERA Arm A  Escalator,17.4571091,78.4333813,ERA_ENT02,2,ERA,2.0"
"ERA_ENT03,ERA Arm A  Lift,17.4571091,78.4333813,ERA_ENT03,2,ERA,3.0"
"ERA_ENT04,ERA Arm A  Combined Staircase & Escalator,17.4571091,78.4333813,ERA_ENT04,2,ERA,4.0"
"ERA_ENT05,ERA Arm B Staircase,17.4572154,78.4333364,ERA_ENT05,2,ERA,5.0"
"ERA_ENT06,ERA Arm B Lift,17.4574842,78.4332164,ERA_ENT06,2,ERA,6.0"
"ERA_ENT07,ERA Arm C Staircase,17.458319,78.4334947,ERA_ENT07,2,ERA,7.0"
"ERA_ENT08,ERA Arm C Lift,17.4575858,78.4335981,ERA_ENT08,2,ERA,8.0"
"ERA_ENT09,ERA Arm D  Staircase ,17.4567343,78.4339361,ERA_ENT09,2,ERA,9.0"
"ERA_ENT10,ERA Arm D Escalator,17.4572486,78.4337089,ERA_ENT10,2,ERA,10.0"
"ESI_ENT01,ESI Arm A Staircase,17.4471721,78.4382922,ESI_ENT01,2,ESI,1.0"
"ESI_ENT02,ESI Arm A Escalator,17.4467245,78.4385343,ESI_ENT02,2,ESI,2.0"
"ESI_ENT03,ESI Arm B  Staircase,17.4473389,78.4381614,ESI_ENT03,2,ESI,3.0"
"ESI_ENT04,ESI Arm B  Lift,17.4475586,78.4381032,ESI_ENT04,2,ESI,4.0"
"ESI_ENT05,ESI Arm C  Staircase,17.4477877,78.4383761,ESI_ENT05,2,ESI,5.0"
"ESI_ENT06,ESI Arm C  Lift,17.4476973,78.4383908,ESI_ENT06,2,ESI,6.0"
"ESI_ENT07,ESI Arm D  Staircase,17.4473403,78.4386147,ESI_ENT07,2,ESI,7.0"
"ESI_ENT08,ESI Arm D  Escalator,17.4468818,78.4388637,ESI_ENT08,2,ESI,8.0"
"SRN_ENT01,SRN Arm A Lift,17.4412764,78.4417303,SRN_ENT01,2,SRN,1.0"
"SRN_ENT02,SRN Arm A Staircase,17.4409751,78.4419123,SRN_ENT02,2,SRN,2.0"
"SRN_ENT03,SRN Arm B Staircase,17.442046,78.441261,SRN_ENT03,2,SRN,3.0"
"SRN_ENT04,SRN Arm B Escalator,17.4415707,78.4415552,SRN_ENT04,2,SRN,4.0"
"SRN_ENT05,SRN Arm C Lift,17.4420124,78.4417028,SRN_ENT05,2,SRN,5.0"
"SRN_ENT06,SRN Arm C Staircase,17.4417641,78.4418482,SRN_ENT06,2,SRN,6.0"
"SRN_ENT07,SRN Arm D Staircase,17.4411422,78.4422274,SRN_ENT07,2,SRN,7.0"
"SRN_ENT08,SRN Arm D Escalator,17.441686,78.4418968,SRN_ENT08,2,SRN,8.0"
"OMC_ENT01,OMC Arm A  Combined Staircase & Escalator,17.3817646,78.4813492,OMC_ENT01,2,OMC,1.0"
"OMC_ENT02,OMC Arm B Staircase,17.3827461,78.4801219,OMC_ENT02,2,OMC,2.0"
"OMC_ENT03,OMC Arm B Lift,17.3826712,78.4803179,OMC_ENT03,2,OMC,3.0"
"OMC_ENT04,OMC Arm C Staircase,17.3827739,78.4806655,OMC_ENT04,2,OMC,4.0"
"OMC_ENT05,OMC Arm C Escalator,17.38241,78.4814003,OMC_ENT05,2,OMC,5.0"
"OMC_ENT06,OMC Arm C Lift,17.3826015,78.4810528,OMC_ENT06,2,OMC,6.0"
"OMC_ENT07,OMC Arm D Staircase,17.3823681,78.481877,OMC_ENT07,2,OMC,7.0"
"GAB_ENT01,GAB Arm A  Staircase,17.3848547,78.473817,GAB_ENT01,2,GAB,1.0"
"GAB_ENT02,GAB Arm B Lift,17.386186,78.4728251,GAB_ENT02,2,GAB,2.0"
"GAB_ENT03,GAB Arm B Combined Staircase & Escalator,17.3858198,78.4730667,GAB_ENT03,2,GAB,3.0"
"GAB_ENT04,GAB Arm C Lift,17.3863871,78.4731391,GAB_ENT04,2,GAB,4.0"
"GAB_ENT05,GAB Arm C Combined Staircase & Escalator,17.3860407,78.4734015,GAB_ENT05,2,GAB,5.0"
"GAB_ENT06,GAB Arm D Staircase,17.3851351,78.4740122,GAB_ENT06,2,GAB,6.0"
"NAM_ENT01,NAM Arm A  Staircase,17.3920328,78.4696326,NAM_ENT01,2,NAM,1.0"
"NAM_ENT02,NAM Arm A  Combined Staircase & Escalator,17.3921823,78.4696935,NAM_ENT02,2,NAM,2.0"
"NAM_ENT03,NAM Arm B Staircase,17.3924285,78.469708,NAM_ENT03,2,NAM,3.0"
"NAM_ENT04,NAM Arm B Lift,17.3924313,78.4699526,NAM_ENT04,2,NAM,4.0"
