service_id,route_id,trip_id,direction_id,trip_headsign,block_id
SU,BLUE,SU_35042,0,Raidurg,SU_31501
SU,BLUE,SU_35043,1,Nagole,SU_31501
SU,BLUE,SU_35044,0,Raidurg,SU_30901
SU,BLUE,SU_35045,1,Nagole,SU_30901
SU,BLUE,SU_35046,0,Raidurg,SU_31001
SU,BLUE,SU_35047,1,Nagole,SU_31001
SU,BLUE,SU_35048,0,Raidurg,SU_31101
SU,BLUE,SU_35049,1,Nagole,SU_31101
SU,BLUE,SU_35050,0,Raidurg,SU_30101
SU,BLUE,SU_35051,1,Nagole,SU_30101
SU,BLUE,SU_35052,0,Raidurg,SU_30201
SU,BLUE,SU_35053,1,Nagole,SU_30201
SU,BLUE,SU_35054,0,Raidurg,SU_31601
SU,BLUE,SU_35055,1,Nagole,SU_31601
SU,BLUE,SU_35056,0,Raidurg,SU_31201
SU,BLUE,SU_35057,1,Nagole,SU_31201
SU,BLUE,SU_35058,0,Raidurg,SU_30301
SU,BLUE,SU_35059,1,Nagole,SU_30301
SU,BLUE,SU_35060,0,Raidurg,SU_30401
SU,BLUE,SU_35061,1,Nagole,SU_30401
SU,BLUE,SU_35062,0,Raidurg,SU_30501
SU,BLUE,SU_35063,1,Nagole,SU_30501
SU,BLUE,SU_35064,0,Raidurg,SU_31301
SU,BLUE,SU_35065,1,Nagole,SU_31301
SU,BLUE,SU_35066,0,Raidurg,SU_30601
SU,BLUE,SU_35067,1,Nagole,SU_30601
SU,BLUE,SU_35068,0,Raidurg,SU_31401
SU,BLUE,SU_35069,1,Nagole,SU_31401
SU,BLUE,SU_35070,0,Raidurg,SU_30701
SU,BLUE,SU_35071,1,Nagole,SU_30701
SU,BLUE,SU_35072,0,Raidurg,SU_30801
SU,BLUE,SU_35073,1,Nagole,SU_30801
SU,BLUE,SU_35074,0,Raidurg,SU_31501
SU,BLUE,SU_35075,1,Nagole,SU_31501
SU,BLUE,SU_35076,0,Raidurg,SU_30901
SU,BLUE,SU_35077,1,Nagole,SU_30901
SU,BLUE,SU_35078,0,Raidurg,SU_31001
SU,BLUE,SU_35079,1,Nagole,SU_31001
SU,BLUE,SU_35080,0,Raidurg,SU_31101
SU,BLUE,SU_35081,1,Nagole,SU_31101
SU,BLUE,SU_35082,0,Raidurg,SU_30101
SU,BLUE,SU_35083,1,Nagole,SU_30101
SU,BLUE,SU_35084,0,Raidurg,SU_30201
SU,BLUE,SU_35085,1,Nagole,SU_30201
SU,BLUE,SU_35086,0,Raidurg,SU_31601
SU,BLUE,SU_35087,1,Nagole,SU_31601
SU,BLUE,SU_35088,0,Raidurg,SU_31201
SU,BLUE,SU_35089,1,Nagole,SU_31201
SU,BLUE,SU_35090,0,Raidurg,SU_30301
SU,BLUE,SU_35091,1,Nagole,SU_30301
SU,BLUE,SU_35134,0,Raidurg,SU_30401
SU,BLUE,SU_35135,1,Nagole,SU_30401
SU,BLUE,SU_35136,0,Raidurg,SU_30501
SU,BLUE,SU_35137,1,Nagole,SU_30501
SU,BLUE,SU_35138,0,Raidurg,SU_31301
SU,BLUE,SU_35139,1,Nagole,SU_31301
SU,BLUE,SU_35140,0,Raidurg,SU_30601
SU,BLUE,SU_35141,1,Nagole,SU_30601
SU,BLUE,SU_35142,0,Raidurg,SU_30701
SU,BLUE,SU_35143,1,Nagole,SU_30701
SU,BLUE,SU_35144,0,Raidurg,SU_30801
SU,BLUE,SU_35145,1,Nagole,SU_30801
SU,BLUE,SU_35146,0,Raidurg,SU_31501
SU,BLUE,SU_35147,1,Nagole,SU_31501
SU,BLUE,SU_35148,0,Raidurg,SU_30901
SU,BLUE,SU_35149,1,Nagole,SU_30901
SU,BLUE,SU_35209,0,Raidurg,SU_31101
SU,BLUE,SU_35210,1,Nagole,SU_31101
SU,BLUE,SU_35211,0,Raidurg,SU_30201
SU,BLUE,SU_35212,1,Nagole,SU_30201
SU,BLUE,SU_35213,0,Raidurg,SU_31601
SU,BLUE,SU_35214,1,Nagole,SU_31601
SU,BLUE,SU_35217,0,Raidurg,SU_30401
SU,BLUE,SU_35218,1,Nagole,SU_30401
SU,BLUE,SU_35219,0,Raidurg,SU_30501
SU,BLUE,SU_35220,1,Nagole,SU_30501
SU,BLUE,SU_35221,0,Raidurg,SU_30601
SU,BLUE,SU_35222,1,Nagole,SU_30601
SU,BLUE,SU_35223,0,Raidurg,SU_30701
SU,BLUE,SU_35224,1,Nagole,SU_30701
SU,BLUE,SU_35226,1,Nagole,SU_30801
SU,BLUE,SU_35228,0,Raidurg,SU_30801
SU,BLUE,SU_35231,0,Raidurg,SU_30301
SU,BLUE,SU_35232,1,Nagole,SU_30301
SU,BLUE,SU_35240,1,Nagole,SU_30101
SU,BLUE,SU_35242,0,Raidurg,SU_30101
