origin_id,destination_id,fare_id
JR5,YUG,F_10
JCP,YUG,F_15
PED,YUG,F_15
MAD,YUG,F_15
DGC,YUG,F_25
HTC,YUG,F_30
RDG,YUG,F_30
MYP,YUG,F_40
JNT,YUG,F_40
KPH,YUG,F_40
KUK,YUG,F_35
BLR,YUG,F_30
MSP,YUG,F_30
BTN,YUG,F_25
ERA,YUG,F_25
ESI,YUG,F_15
SRN,YUG,F_15
AME_R,YUG,F_15
PUN,YUG,F_15
IRM,YUG,F_25
KHA,YUG,F_25
LKP,YUG,F_30
ASM,YUG,F_30
NAM,YUG,F_35
GAB,YUG,F_35
OMC,YUG,F_35
MGB_R,YUG,F_40
MKL,YUG,F_40
NEM,YUG,F_40
MSB,YUG,F_40
DSN,YUG,F_45
CHP,YUG,F_45
VOM,YUG,F_45
LBN,YUG,F_50
JBS,YUG,F_35
SCR,YUG,F_35
GNH,YUG,F_40
MSH,YUG,F_40
RTC,YUG,F_40
CDP,YUG,F_40
NAR,YUG,F_40
SUB,YUG,F_40
MGB_G,YUG,F_40
NAG,JR5,F_50
UPL,JR5,F_50
STD,JR5,F_45
NGR,JR5,F_45
HSG,JR5,F_45
TAR,JR5,F_45
MET,JR5,F_40
SEC_E,JR5,F_40
PRG,JR5,F_35
PAR,JR5,F_35
ROP,JR5,F_30
PRN,JR5,F_25
BEG,JR5,F_25
AME_B,JR5,F_15
MUN,JR5,F_15
YUG,JR5,F_10
JR5,JR5,F_10
JCP,JR5,F_10
PED,JR5,F_10
MAD,JR5,F_15
DGC,JR5,F_25
HTC,JR5,F_25
RDG,JR5,F_30
MYP,JR5,F_45
JNT,JR5,F_40
KPH,JR5,F_40
KUK,JR5,F_35
BLR,JR5,F_35
MSP,JR5,F_30
BTN,JR5,F_30
ERA,JR5,F_25
ESI,JR5,F_25
SRN,JR5,F_15
AME_R,JR5,F_15
PUN,JR5,F_25
IRM,JR5,F_25
KHA,JR5,F_30
LKP,JR5,F_30
ASM,JR5,F_35
NAM,JR5,F_35
GAB,JR5,F_35
OMC,JR5,F_40
MGB_R,JR5,F_40
MKL,JR5,F_40
NEM,JR5,F_40
MSB,JR5,F_45
DSN,JR5,F_45
CHP,JR5,F_45
VOM,JR5,F_50
LBN,JR5,F_50
JBS,JR5,F_35
SCR,JR5,F_40
GNH,JR5,F_40
MSH,JR5,F_40
RTC,JR5,F_40
CDP,JR5,F_45
NAR,JR5,F_40
SUB,JR5,F_40
MGB_G,JR5,F_40
NAG,JCP,F_50
UPL,JCP,F_50
STD,JCP,F_50
NGR,JCP,F_45
HSG,JCP,F_45
TAR,JCP,F_45
MET,JCP,F_45
SEC_E,JCP,F_40
PRG,JCP,F_40
PAR,JCP,F_35
ROP,JCP,F_35
PRN,JCP,F_30
BEG,JCP,F_25
AME_B,JCP,F_25
MUN,JCP,F_15
YUG,JCP,F_15
JR5,JCP,F_10
JCP,JCP,F_10
PED,JCP,F_10
MAD,JCP,F_10
DGC,JCP,F_15
HTC,JCP,F_25
RDG,JCP,F_25
MYP,JCP,F_45
JNT,JCP,F_40
KPH,JCP,F_40
KUK,JCP,F_40
BLR,JCP,F_35
MSP,JCP,F_35
BTN,JCP,F_30
ERA,JCP,F_30
ESI,JCP,F_25
SRN,JCP,F_25
AME_R,JCP,F_25
PUN,JCP,F_25
IRM,JCP,F_30
KHA,JCP,F_30
LKP,JCP,F_35
ASM,JCP,F_35
NAM,JCP,F_40
GAB,JCP,F_40
OMC,JCP,F_40
MGB_R,JCP,F_40
MKL,JCP,F_40
NEM,JCP,F_45
MSB,JCP,F_45
DSN,JCP,F_45
CHP,JCP,F_50
VOM,JCP,F_50
LBN,JCP,F_50
JBS,JCP,F_40
SCR,JCP,F_40
GNH,JCP,F_40
MSH,JCP,F_45
RTC,JCP,F_45
CDP,JCP,F_45
NAR,JCP,F_45
SUB,JCP,F_40
MGB_G,JCP,F_40
NAG,PED,F_50
UPL,PED,F_50
STD,PED,F_50
NGR,PED,F_50
HSG,PED,F_45
TAR,PED,F_45
MET,PED,F_45
SEC_E,PED,F_40
PRG,PED,F_40
PAR,PED,F_40
ROP,PED,F_35
PRN,PED,F_30
BEG,PED,F_30
AME_B,PED,F_25
MUN,PED,F_25
YUG,PED,F_15
JR5,PED,F_10
JCP,PED,F_10
PED,PED,F_10
MAD,PED,F_10
DGC,PED,F_15
HTC,PED,F_15
RDG,PED,F_25
MYP,PED,F_45
JNT,PED,F_45
KPH,PED,F_40
KUK,PED,F_40
BLR,PED,F_40
MSP,PED,F_35
BTN,PED,F_35
ERA,PED,F_30
ESI,PED,F_30
SRN,PED,F_25
AME_R,PED,F_25
PUN,PED,F_25
IRM,PED,F_30
KHA,PED,F_35
LKP,PED,F_35
ASM,PED,F_40
NAM,PED,F_40
GAB,PED,F_40
OMC,PED,F_40
MGB_R,PED,F_40
MKL,PED,F_45
NEM,PED,F_45
MSB,PED,F_45
DSN,PED,F_45
CHP,PED,F_50
VOM,PED,F_50
LBN,PED,F_50
JBS,PED,F_40
SCR,PED,F_40
GNH,PED,F_40
MSH,PED,F_45
RTC,PED,F_45
